deck_grp,deck_name,deck_time
optoex06,optoex06.in,81400000
optoex08,optoex08.in,1900000
optoex07,optoex07.in,320000
optoex02,optoex02.in,1110000
optoex20,optoex20.in,51910000
optoex20,optoex20_target.in,2320000
optoex05,optoex05.in,500000
optoex11,optoex11.in,39190000
optoex19,optoex19.in,1039500000
optoex01,optoex01.in,220000
optoex14,optoex14.in,11760000
optoex13,optoex13.in,62180000
optoex09,optoex09.in,2200000
optoex03,optoex03.in,1430000
optoex18,optoex18.in,29510000
optoex04,optoex04.in,540000
optoex15,optoex15.in,38570000
optoex17,optoex17.in,128730000
optoex12,optoex12.in,67820000
optoex16,optoex16.in,2780000
optoex10,optoex10.in,2770000
latchex01,latchex01.in,4610000
latchex04,latchex04.in,600000
latchex03,latchex03.in,4010000
latchex02,latchex02.in,4010000
esdex01,esdex01.in,186400000
esdex03,esdex03.in,1710000
esdex05,esdex05.in,2340000
esdex04,esdex04.in,1110000
esdex02,esdex02.in,173930000
doeex01,doeex01_tmpl.in,5090000
doeex01,doeex01.in,53160000
doeex02,doeex02.in,14760000
doeex02,doeex02_tmpl.in,310000
vsex01,vsex01.in,1930000
vsex03,vsex03.in,2280000
vsex03,vsex03_onlystress.in,130000
vsex05,vsex05_onlystress.in,130000
vsex05,vsex05.in,162280000
vsex06,vsex06.in,1910000
vsex06,vsex06_onlystress.in,130000
vsex04,vsex04.in,2370000
vsex08,vsex08.in,5460000
vsex02,vsex02.in,2420000
vsex02,vsex02_onlystress.in,140000
vsex07,vsex07.in,1890000
vsex07,vsex07_onlystress.in,140000
vsex09,vsex09.in,1380000
laserex01,laserex01.in,41110000
laserex02,laserex02.in,113320000
laserex12,laserex12.in,1438510000
laserex07,laserex07.in,991730000
laserex06,laserex06.in,1141220000
laserex03,laserex03.in,274000000
laserex10,laserex10.in,450910000
laserex05,laserex05.in,5931330000
laserex09,laserex09.in,5617750000
laserex11,laserex11.in,117160000
laserex13,laserex13.in,6941880000
laserex08,laserex08.in,4296060000
laserex04,laserex04.in,107330000
andfex10,andfex10.in,890000
andfex01,andfex01.in,240000
andfex06,andfex06.in,920000
andfex14,andfex14.in,300000
andfex07,andfex07.in,1070000
andfex09,andfex09.in,220000
andfex13,andfex13.in,42050000
andfex11,andfex11.in,290000
andfex05,andfex05.in,640000
andfex03,andfex03.in,1550000
andfex08,andfex08.in,6830000
andfex02,andfex02.in,680000
andfex12,andfex12.in,85790000
andfex04,andfex04.in,970000
ccdex02,ccdex02.in,450000
ccdex01,ccdex01.in,1100000
ccdex03,ccdex03.in,80000
isolationex02,isolationex02.in,1780000
isolationex01,isolationex01.in,7370000
bjtex07,bjtex07.in,360000
bjtex09,bjtex09.in,89020000
bjtex11,bjtex11.in,11530000
bjtex05,bjtex05.in,7300000
bjtex02,bjtex02.in,370000
bjtex08,bjtex08.in,4880000
bjtex03,bjtex03.in,3990000
bjtex06,bjtex06.in,5020000
bjtex10,bjtex10.in,48860000
bjtex04,bjtex04.in,33650000
bjtex01,bjtex01.in,3980000
anoxex13,anoxex13.in,84900000
anoxex10,anoxex10.in,550000
anoxex04,anoxex04.in,460000
anoxex02,anoxex02.in,220000
anoxex01,anoxex01.in,350000
anoxex09,anoxex09.in,1830000
anoxex11,anoxex11.in,6570000
anoxex07,anoxex07.in,620000
anoxex03,anoxex03.in,810000
anoxex08,anoxex08.in,1890000
anoxex12,anoxex12.in,920000
anoxex06,anoxex06.in,10630000
anoxex05,anoxex05.in,3110000
clex08,clex08.in,20000
clex04,clex04.in,1950000
clex15,clex15.in,20000
clex07,clex07.in,10000
clex09,clex09.in,20000
clex17,clex17.in,20000
clex20,clex20.in,2260000
clex18,clex18.in,20000
clex10,clex10.in,20000
clex03,clex03.in,20000
clex14,clex14.in,20000
clex23,clex23.in,910000
clex21,clex21.in,20000
clex11,clex11.in,20000
clex02,clex02.in,20000
clex01,clex01.in,20000
clex24,clex24.in,2400000
clex06,clex06.in,10000
clex25,clex25.in,1870000
clex19,clex19.in,20000
clex12,clex12.in,20000
clex16,clex16.in,20000
clex05,clex05.in,20000
clex22,clex22.in,2400000
clex13,clex13.in,1890000
sonosex04,sonosex04.in,595500000
sonosex06,sonosex06.in,1098100000
sonosex06,sonosex06_aux.in,46560000
sonosex05,sonosex05.in,369740000
sonosex02,sonosex02_aux.in,490800000
sonosex02,sonosex02.in,3409480000
sonosex03,sonosex03.in,414570000
sonosex01,sonosex01.in,1722160000
hemtex02,hemtex02.in,21870000
hemtex04,hemtex04.in,23630000
hemtex05,hemtex05.in,530000
hemtex03,hemtex03.in,2210000
hemtex06,hemtex06.in,32090000
hemtex01,hemtex01.in,5030000
radex17,radex17.in,1940000
radex07,radex07.in,1505950000
radex05,radex05.in,3350000
radex09,radex09.in,2247680000
radex11,radex11.in,1900000
radex04,radex04.in,520000
radex14,radex14.in,2380000
radex15,radex15.in,1880000
radex06,radex06.in,670000
radex16,radex16.in,20000
radex12,radex12.in,2430000
radex12,radex12_1.in,1840000
radex08,radex08.in,1930000
radex10,radex10.in,2420000
radex02,radex02.in,460000
radex18,radex18.in,1745230000
radex01,radex01.in,460000
radex13,radex13.in,1940000
radex13,radex13_aux.in,3500000
radex03,radex03.in,580000
vcselex04,vcselex04.in,4098640000
vcselex02,vcselex02.in,2559470000
vcselex03,vcselex03.in,2158250000
vcselex01,vcselex01.in,1694340000
mesfetex05,mesfetex05.in,470000
mesfetex02,mesfetex02.in,16740000
mesfetex06,mesfetex06.in,460000
mesfetex04,mesfetex04.in,460000
mesfetex01,mesfetex01.in,1070000
mesfetex03,mesfetex03.in,12290000
hbtex05,hbtex05.in,2230000
hbtex06,hbtex06.in,310000
hbtex04,hbtex04.in,105070000
hbtex01,hbtex01.in,10250000
hbtex03,hbtex03.in,23210000
hbtex08,hbtex08.in,31100000
hbtex07,hbtex07.in,744810000
hbtex02,hbtex02.in,9880000
organicex07,organicex07.in,860670000
organicex09,organicex09_aux.in,27710000
organicex09,organicex09.in,259930000
organicex05,organicex05.in,5060000
organicex01,organicex01.in,5740000
organicex08,organicex08.in,114170000
organicex06,organicex06.in,432090000
organicex06,organicex06_aux.in,14080000
organicex04,organicex04.in,22130000
organicex03,organicex03_1.in,460000
organicex03,organicex03.in,22590000
organicex02,organicex02.in,2930000
ancaex04,ancaex04.in,1000000
ancaex08,ancaex08.in,220000
ancaex01,ancaex01.in,400000
ancaex03,ancaex03.in,250000
ancaex06,ancaex06.in,560000
ancaex05,ancaex05_tmpl.in,450000
ancaex05,ancaex05.in,19190000
ancaex07,ancaex07.in,290000
ancaex02,ancaex02.in,850000
mos1ex14,mos1ex14.in,1240000
mos1ex10,mos1ex10.in,810000
mos1ex01,mos1ex01.in,3490000
mos1ex04,mos1ex04.in,1730000
mos1ex05,mos1ex05.in,13230000
mos1ex13,mos1ex13.in,1250000
mos1ex11,mos1ex11.in,810000
mos1ex03,mos1ex03.in,1730000
mos1ex09,mos1ex09.in,810000
mos1ex12,mos1ex12.in,780000
mos1ex06,mos1ex06.in,1370000
mos1ex08,mos1ex08.in,800000
mos1ex02,mos1ex02.in,2680000
mos1ex07,mos1ex07.in,1370000
mos1ex15,mos1ex15.in,4290000
sicex02,sicex02.in,65970000
sicex13,sicex13.in,110290000
sicex14,sicex14.in,85950000
sicex05,sicex05.in,1376170000
sicex04,sicex04.in,805070000
sicex11,sicex11.in,1960000
sicex10,sicex10_aux_0.in,301730000
sicex10,sicex10_aux_2.in,312790000
sicex10,sicex10.in,311730000
sicex10,sicex10_aux_1.in,316050000
sicex01,sicex01.in,327830000
sicex06,sicex06.in,379400000
sicex08,sicex08.in,31566150000
sicex09,sicex09.in,1850000
sicex03,sicex03.in,46450000
sicex07,sicex07.in,26545370000
sicex12,sicex12.in,538590000
magneticex02,magneticex02.in,170000
magneticex01,magneticex01.in,4010000
magneticex03,magneticex03.in,2075190000
magneticex04,magneticex04.in,10590000
